station_id,route_id,arsid,sta_ord
117000130,100100084,18216,1
117000130,100100248,18216,1
111000128,111000009,12216,1
116000195,100100085,17290,1
116000195,116000004,17290,1
210000246,100100102,46104,1
101000331,106000004,02291,1
101000331,100100001,02291,1
123000661,100100454,24506,1
123000661,124000036,24506,1
123000661,100100579,24506,1
123000661,100100459,24506,1
123000661,100100496,24506,1
123000661,113000002,24506,1
123000661,107000002,24506,1
120000671,100100427,22026,1
120000671,100100237,22026,1
120000671,100100234,22026,1
115000948,115000013,16972,1
102000317,104000012,03120,1
111901113,111900009,12833,1
113900300,113900012,14497,1
113900301,113900011,14498,1
113900302,113900002,14499,1
213000443,117900002,38516,1
107900001,107900015,08449,1
226000109,100100410,60101,1
226000109,100100070,60101,1
113900296,113900001,14491,1
116900277,116900006,17601,1
210000246,100100551,46104,1
210000246,100100091,46104,1
108000194,100100018,09289,1
108000194,100100023,09289,1
108000196,100100583,09291,1
108000196,100100172,09291,1
113000414,111000024,14016,1
107000163,100100134,08258,1
107000163,100100129,08258,1
118000216,118900009,19307,1
118000216,118900008,19307,1
118000219,114900005,19310,1
123000354,100100071,24446,1
123000354,100100232,24446,1
123000354,100100501,24446,1
123000354,100100229,24446,1
123000354,100100063,24446,1
123000354,100100438,24446,1
123000654,123000002,24122,1
107000269,100100170,08367,1
107000274,100100171,08372,1
232001127,115000011,41673,1
204000341,106000005,48850,1
213000464,100100421,38289,1
124000459,106000007,25378,1
124000459,124000040,25378,1
213000492,100100283,38254,1
213000492,100100285,38254,1
213000492,100100080,38254,1
213000492,100100312,38254,1
116000649,120000003,17162,1
103900299,103900008,04547,1
118000614,100100417,19853,1
103900272,103900013,04887,1
124000437,100100508,25200,1
123000660,100100219,24503,1
123000660,100100613,24503,1
123000660,100100057,24503,1
123000660,100100585,24503,1
123000660,100100564,24503,1
123000660,100100553,24503,1
123000660,100100216,24503,1
123000660,123000013,24503,1
219000131,100100607,36664,1
213000455,100100267,38629,1
213000455,100100268,38629,1
213000455,100100079,38629,1
213000455,100100284,38629,1
213000455,100100078,38629,1
213000455,100100288,38629,1
213000455,100100266,38629,1
219000691,116000006,36022,1
107900344,107900016,08832,1
116000021,114000002,17107,1
116000032,100100292,17118,1
113000428,112000001,14331,1
121000947,107000010,22408,1
107000017,107000001,08107,1
107000022,100100185,08112,1
107000023,100100036,08113,1
107000023,107000009,08113,1
113000014,101000006,14104,1
109000118,109900001,10203,1
117000138,100100295,18226,1
116000381,116900018,17855,1
105000407,115000009,06755,1
106000427,100100513,07771,1
109000068,100100021,10153,1
109000068,100100144,10153,1
109000068,100100020,10153,1
117000123,100100286,18209,1
117000123,100100273,18209,1
122000344,122000001,23458,1
106000469,100100193,07462,1
112000122,100100346,13205,1
105000127,106000001,06213,1
109000180,100100373,10266,1
110000308,100100178,11409,1
110000308,100100158,11409,1
